PACKAGE_NAME	PACKAGE_VERS	HOLDER	0	MAPPED_NAME	MAPPED_VERS	1	Y	NATIV	2006-08-16 16:49:27.419138
MicroStrategy 7i	7.2.4	HOLDER	0	MICROSTRATEGY	7.2.4	1	Y	NATIV	2006-08-16 16:49:27.419138
MicroStrategy 7i	7.5.0	HOLDER	0	MICROSTRATEGY	7.5.0	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Access 2000	9.0	HOLDER	0	MICROSOFT ACCESS	9.0	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Access 2000 SR-1 Runtime	9.00.9327	HOLDER	0	MICROSOFT ACCESS	9.00.9327	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Access 2002	10.0.3520.0	HOLDER	0	MICROSOFT ACCESS	10.0.3520.0	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Access 2002	10.0.6626.0	HOLDER	0	MICROSOFT ACCESS	10.0.6626.0	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Access 2002 Runtime	10.0.2627.5	HOLDER	0	MICROSOFT ACCESS	10.0.2627.5	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft BizTalk Server 2000	2.00.1723	HOLDER	0	MICROSOFT BIZTALK SERVER STANDARD EDITION	2.00.1723	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft BizTalk Server 2004	3.0.4902.0	HOLDER	0	MICROSOFT BIZTALK SERVER STANDARD EDITION	3.0.4902.0	1	Y	NATIV	2006-08-16 16:49:27.419138
Capacity Manager Agent	""	HOLDER	0	IBM CAPACITY MANAGER AGENT	1.0	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Commerce Server 2002 Enterprise Edition	4.5.2101.00	HOLDER	0	MICROSOFT COMMERCE SERVER STANDARD EDITION	4.5.2101.00	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Commerce Server 2002 Enterprise Edition	4.5.3020.00	HOLDER	0	MICROSOFT COMMERCE SERVER STANDARD EDITION	4.5.3020.00	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Data Access Components (MDAC) SDK (Ver 2.7) (3790.0)	5.2.3790.0	HOLDER	0	MICROSOFT DATA ACCESS COMPONENTS (MDAC)	5.2.3790.0	1	N	NATIV	2006-08-16 16:49:27.419138
Microsoft Data Access Components (MDAC) SDK (Version 2.7) (3590.	5.1.3590.2	HOLDER	0	MICROSOFT DATA ACCESS COMPONENTS (MDAC)	5.1.3590.2	1	N	NATIV	2006-08-16 16:49:27.419138
Microsoft Data Access Components (MDAC) SDK (Version 2.7) (3639.	5.2.3639.1	HOLDER	0	MICROSOFT DATA ACCESS COMPONENTS (MDAC)	5.2.3639.1	1	N	NATIV	2006-08-16 16:49:27.419138
Microsoft Exchange	1.1	HOLDER	0	MICROSOFT EXCHANGE	1.1	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft FrontPage 2000 SR-1.3 Server Extensions	9.00.5526	HOLDER	0	MICROSOFT FRONTPAGE	9.0 SR-1.3	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft FrontPage 2002	10.0.2627.5	HOLDER	0	MICROSOFT FRONTPAGE	10.0.2627.5	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft FrontPage 2002	10.0.6626.0	HOLDER	0	MICROSOFT FRONTPAGE	10.0.6626.0	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft FrontPage98	""	HOLDER	0	MICROSOFT FRONTPAGE	98	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Internet Explorer 5 und Internettools	""	HOLDER	0	MICROSOFT INTERNET EXPLORER	5	1	N	NATIV	2006-08-16 16:49:27.419138
Microsoft Money	11.0.120	HOLDER	0	MICROSOFT MONEY	11.0.120	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Money	12.0.120	HOLDER	0	MICROSOFT MONEY	12.0.120	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Money 2004	12.0.80	HOLDER	0	MICROSOFT MONEY	12.0.80	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Money 2004 System Pack	12.0.80	HOLDER	0	MICROSOFT MONEY	12.0.80	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Money Personal & Business	""	HOLDER	0	MICROSOFT MONEY	*	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Money System Pack	11.0.120	HOLDER	0	MICROSOFT MONEY	11.0.120	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Money System Pack	12.0.120	HOLDER	0	MICROSOFT MONEY	12.0.120	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Office 2000 CD-ROM2	9.00.2720	HOLDER	0	MICROSOFT OFFICE STANDARD EDITION	9.00.2720	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Office 2000 Professional	9.00.2816	HOLDER	0	MICROSOFT OFFICE PROFESSIONAL EDITION	9.00.2816	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Office 2000 SR-1 MultiLanguage Pack Disc 1	9.00.3821	HOLDER	0	MICROSOFT OFFICE STANDARD EDITION	9.00.3821	1	Y	NATIV	2006-08-16 16:49:27.419138
Microsoft Office 2000 SR-1 MultiLanguage Pack Disc 2	9.00.3821	HOLDER	0	MICROSOFT OFFICE STANDARD EDITION	9.00.3821	1	Y	NATIV	2006-08-16 16:49:27.419138
